Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Bengali
BUFF_TIPS_SEEKER_DAMAGE,Damage up 30%,獲得傷害加成30%,เพิ่มความเสียหาย 30%,Tăng sát thương lên 30%,Damage hingga 30%,Dano de até 30%,Hasta 30% de daño,Усилить урон на 30%,Dégâts jusqu'à 30%,Schäden Sie 30%,Hasar %30 artar,30% नुकसान,Daune până la 30%,الضرر يصل 30%,ড্যামেজ আপ 30%
BUFF_TIPS_SEEKER_AMMO,Receive 10 Shotgun ammo,獲得霰弹槍子彈10發,รับกระสุนปืนลูกซอง 10 กระสุน,Nhận 10 khẩu súng ngắn,Menerima 10 amunisi senapan,Receba 10 munição de espingarda,Recibir 10 munición de escopeta,Получите 10 боеприпасов для дробовика,Recevoir 10 munitions de fusil de chasse,Erhalten Sie 10 Schrotflintenmunition,10 av tüfeği cephanesi al,10 शॉटगन बारूद प्राप्त करें,Primiți 10 de muniție cu pușcă,تلقي 10 ذخيرة بندقية,10 শটগান গোলাবারুদ পান
BUFF_SPAWNNOTIFICATION,Buff spawned. Pick it up!,Buff已出現，撿取獲得各類加成,บัฟมาแล้ว ไปรับบัฟเร็ว!,Các buff đã xuất hiện. Mau nhặt!,Buff muncul. Ayo ambil!,Bônus gerado. Pegue-o agora!,Beneficio generado. ¡Recógelo!,Появился бонус. Успей взять!,Buff apparu. Ramassez-le!,Buff wurde hervorgebracht. Heb es auf!,Güçlendirici ortaya çıktı. Hemen al!,बफ स्पॉन्ड। इसे उठाएं!,Buff a născut. Ridic-o!,ظهر المعزز. التقطه!,বাফ স্পন হয়েছে। তুলে নিন! 
BUFF_SCAN_NOTIFICATION_SEEKER,Detect hider in the area,掃描到區域內有躲藏者,ตรวจหาผู้ซ่อนในบริเวณนี้,Phát hiện người trốn trong phạm vi,Mendeteksi hider di area,Detectar oportunistas na área,Detectar Escondidos en el área,Обнаружение Прячущегося...,Détecter le cacheur dans la région,Hider in der Region erkennen,Bölgedeki saklananı bul,क्षेत्र में हाइडर का पता लगाएं,Detectați Hider în zonă,اكتشف المختبئ في المنطقة,এরিয়াটিতে হাইডার শনাক্ত করুন
UI_BlockLobby_Wait,Waiting,等待中,กำลังรอ,Đang chờ,Menunggu,Esperando,Espera,Ожидание...,En attendant,Warten,Bekleniyor,इंतज़ार में,Aşteptare,في انتظار,অপেক্ষমান
GAME_SEEKERWAITHIDER,Waiting for hider finish hiding,等待躲藏者躲藏,กรุณารอผู้เล่นซ่อนตัวก่อน,Hãy đợi phe trốn hoàn tất,Menunggu Hider selesai bersembunyi,Esperando oportunista parar de se esconder,Esperando que los Escondidos dejen de ocultarse,Прячущийся почти спрятался. ожидаем.,En attendant que le cacheur finisse de se cacher,Warten auf Hider. der sich versteckt,Oyuncuların saklanması bekleniyor,हाइडर फिनिश छिपने की प्रतीक्षा कर रहा है,Așteptăm ascunderea finisajului Hider,في انتظار المختبئ,হাইডারের লুকানো শেষ হবার অপেক্ষায়
SKILL_SCAN_COOLDOWN,Scan skill cooldown,掃描CD,สแกนทักษะคูลดาวน์,Thời gian hồi chiêu kỹ năng quét,Pindai cooldown keterampilan,Excunhões de recarga de habilidades,Escaneo de habilidad,Сканирование навыка восстановления,Scan Skill Recodownown,Scan -Fähigkeit Abklingzeit,Beceri bekleme süresi tarama,स्कैन कौशल कोल्डाउन,Scanarea de compensare a abilităților,مسح مهارة التباطؤ,স্ক্যান দক্ষতা কোলডাউন
SKILL_SCAN_DISTANCE,Scan skill distance,掃描距離,สแกนระยะทาง,Quét khoảng cách kỹ năng,Memindai jarak keterampilan,Distância da habilidade de varredura,Escanear distancia de habilidad,Сканирование расстояния навыков,Distance de compétences de numérisation,Scan -Skillentfernung,Beceri mesafesini tarama,स्कैन कौशल दूरी,Distanța de abilități de scanare,مسافة مهارة المسح,স্ক্যান দক্ষতার দূরত্ব
MENU_RANKING,DAILY RANKING,每日排名,อันดับรายวัน,Xếp Hạng Ngày,PERINGKAT HARIAN,,CLASIFICACIÓN DIARIA,,,,GÜNLÜK SIRALAMA,,,التصنيف اليومي,
RANK_TXT,RANK,排名,อันดับ,Xếp Hạng,PERINGKAT,,CLASIFICACIÓN,,,,SIRALAMA,,,التصنيف,
NICKNAME_TXT,NAME,姓名,ชื่อ,Tên,NAMA,,NOMBRE,,,,İSİM,,,الاسم,
POINT_TXT,POINT,積分,คะแนน,Điểm,POIN,,PUNTOS,,,,PUAN,,,نقطة,
RANKING_TITLE_2,WIN,勝利次數,ชนะ,Thắng,MENANG,,VICTORIA,,,,ZAFER,,,فوز,
RANKING_TITLE_1,KILL,擊殺數,สังหาร,Tiêu diệt,ELIMINASI,,ELIMINACIÓN,,,,HAKLAMA,,,قتل,
YOU_TXT,YOU,您,คุณ,Bạn,KAMU,,TÚ,,,,SEN,,,أنت,
RENEW_TXT,Reset time: 10:00 AM (GMT+8),重置時間：上午10:00 (GMT+8),รีเฟรชตอน: 09:00 น.,Làm mới: 10:00 AM (GMT+8),Waktu reset: 09:00 WIB,,Reinicio: 8:00 p.m. (GMT-6),,,,Sıfırlanma zamanı: 15:00,,,وقت إعادة التعيين: 10:00 صباحًا (بتوقيت غرينيتش+ 8),
TIPS_TOKEN_GAINED,Craftland Token,我的戰場代幣,โทเคนคราฟท์แลนด์,HH Thiết Kế Bản Đồ,Token Craftland,,Token Crea Tu Mapa,,,,Üretim Diyarı Jetonu,,,توكن أرض الحرف,
